id,raw_sentence,pun_type,pun_label
het_29,"In an attempt to kill a fly , I drove into a pole .",heterographic,0
het_651,"' ' Let ' s take a vacation in the south of France , ' ' said Tom nicely .",heterographic,1
het_737,Many people think that Edgar Allan Poe was a raven madman .,heterographic,1
het_583,Someone led me to believe that graphite was discovered in Pennsylvania .,heterographic,1
het_108,"' ' Now I can do some painting , ' ' said Tom easily .",heterographic,1
hom_1712,I ' d tell you a joke about a cow but I always butcher it .,homographic,1
het_229,Businesses selling pleasure boats often have a sail .,heterographic,1
het_952,"' ' I have to sing a run of eighth notes , ' ' said Tom quaveringly .",heterographic,1
hom_1192,"What a charming doorway ! said Tom , entranced .",homographic,1
hom_1863,A sports match was attended by many scores .,homographic,1
hom_670,' ' I can take photographs if I want to ! ' ' Tom snapped .,homographic,1
hom_2067,"' ' I won ' t buy a circuit breaker , ' ' Tom refused .",homographic,1
hom_521,""" Bother , "" said Pooh , as he torched the forest . . . . .",homographic,0
hom_1227,His model airplane hobby really took off .,homographic,1
hom_816,A picture is worth a thousand words .,homographic,0
hom_1518,"My cavity wasn ' t fixed by my regular dentist , but by a guy who was filling in .",homographic,1
het_1231,Example is better than correction .,heterographic,0
hom_727,Actors are cast through their good and bad stages .,homographic,1
hom_1738,He does the work of 3 men . . . . Larry Moe & Curly .,homographic,0
het_154,"There ' s nothing to stop me putting things in tins , said Tom cannily .",heterographic,1
hom_1244,My name is Faith . I ' m a minister .,homographic,1
het_1750,A hermit drove to town and was charged with recluse driving .,heterographic,1
het_874,"OLD TAILORS never die , they just get ironic .",heterographic,1
het_503,People have a happy time vacationing in Ireland because they are walking on Eire .,heterographic,1
hom_1319,Still water runs deep .,homographic,0
hom_961,He was able to listen to his favorite radio show in the morning because he had an AM radio,homographic,1
het_1019,"He gave up playing chess , and went on to a checkered career .",heterographic,1
het_1309,A bird in the hand is a big mistake .,heterographic,0
hom_835,A man stole a case of soap from the corner store . The police said he made a clean getaway .,homographic,1
hom_686,Two friends took ropes to school so that they could skip out .,homographic,1
hom_1301,Have you heard the joke about the bomb ? It had no impact .,homographic,1
het_1366,Kill your darlings .,heterographic,0
hom_1296,Students who accent their textbooks with color markers add a real highlight to their day .,homographic,1
het_994,Keep your mouth shut and your eyes open .,heterographic,0
het_374,Working in the bakery left her with a loathe of bread .,heterographic,1
het_1489,"When Martha Stewart was on trial , New York Times columnist Clyde Haberman reported on her arrival at the courthouse , where a group of supporters had assembled to greet her . ' ' They included a man in a chef ' s hat who stood with the others behind a metal barrier — one toque over the line . ' '",heterographic,1
hom_290,All women are automatically born with a shopping disorder,homographic,0
het_984,That gas pump must be sick . It doesn ' t fill well .,heterographic,1
hom_1960,Watson and Crick did the twist all night .,homographic,1
het_1637,Did Gregor Mendel ever win the Nobel Peas Prize ?,heterographic,1
hom_1342,They argued about their vacation and finally stayed at the last resort .,homographic,1
hom_1420,"We did it twice last night , she relayed .",homographic,1
hom_426,Librarians are always going by the book .,homographic,1
hom_2236,The surest steps to happiness are the steps to church .,homographic,1
hom_602,The first fish to gather in schools was the grouper .,homographic,1
het_1301,Romance isn ' t a science - it ' s a heart .,heterographic,1
hom_878,The science teachers broke up because there was no chemistry between them .,homographic,1
hom_1324,After selling a shipment of salt the salesman said ' let ' s shake on that . ',homographic,1
hom_344,Taxidermists really know their stuff .,homographic,1
het_1142,There was a guy who played the organ in his garden to get organically grown food .,heterographic,1
het_1312,The geneticist taught his students how to mendel defective genes .,heterographic,1
het_1618,Number of Vulcans needed to replace a bulb ? Precisely 1 . 000,heterographic,0
het_1607,Ask me about my vow of silence . . .,heterographic,0
het_94,The inventor of chewing gum soon bubbled his money .,heterographic,1
hom_956,"No bungee cords , but we encourage leaps of faith .",homographic,1
hom_1935,Every rose has its thorn .,homographic,0
hom_544,Two cooks had a contest and the heat was on .,homographic,1
het_1029,Aliens are lovable because they ' re so spatial .,heterographic,1
het_383,I think my learning curve has turned into a circle .,heterographic,0
hom_636,When ancient wall sculptors were finished it was a relief .,homographic,1
het_1404,In for a penny in for a pound .,heterographic,0
hom_840,If you snooze you lose .,homographic,0
hom_778,"OLD AIR CONDITIONER REPAIRMEN never die , they just lose their cool .",homographic,1
het_819,"It ain ' t over , but the fat lady is clearing her throat .",heterographic,0
hom_1581,Forgive and forget .,homographic,0
het_140,It ' s amazing what two or more sinners can achieve together with synergy .,heterographic,1
hom_1620,She was only a whisky maker but he loved her still .,homographic,1
hom_1378,My name is Guy . I install antennas .,homographic,1
hom_1346,My name is Rusty . I undercoat cars .,homographic,1
hom_1538,The weather bureau is an umbrella organization .,homographic,1
het_1408,Taglines : the toilet - stall walls of BBSdom .,heterographic,0
het_380,At the petting zoo I saw a sheep scratching itself . Turns out it had fleece .,heterographic,1
hom_497,When he fell in the wet concrete he left a bad impression .,homographic,1
het_116,The obese editor started a weight redaction program .,heterographic,1
het_1256,Having a rude waiter at an Ethiopian restaurant just adds insult to injera .,heterographic,1
hom_1174,He studied water purification and had a great thirst for knowledge .,homographic,1
het_525,"Wanting to buy his girlfriend a gift that she was sure to appreciate , Bugs Bunny decided that something on the order of twenty - four carats would be about right .",heterographic,1
hom_1827,WORK HARDER ! . . . Millions on Welfare depend on YOU !,homographic,0
het_145,"' ' I have to keep this fire alight , ' ' Tom bellowed .",heterographic,1
het_1044,Second thoughts are the best .,heterographic,0
het_554,Victims of bad construction in the orient are ' bamboozled ' .,heterographic,1
hom_1681,A friend is best found in adversity .,homographic,0
hom_1189,A lie can be halfway around the world before the truth gets its boots on .,homographic,0
hom_657,She was only a Waitress ' s daughter but she sure could dish it out .,homographic,1
het_593,The little green men told me it was the Dog Star . I told them they can ' t be Sirius .,heterographic,1
hom_457,"I ' ve spotted more blackbirds than you have , Tom crowed .",homographic,1
het_269,"If you lie down with dogs , you ' ll get up with fleas .",heterographic,0
hom_1267,To teach someone how to build a compass you have to be good at giving directions .,homographic,1
hom_1349,A teacher used his index finger to ask a lot of pointed questions .,homographic,1
hom_695,"OLD RAILROADERS never die , they just derail .",homographic,1
het_749,"A pie went for an audition for a part in a play . The casting agent told him he performed well , but it was more of a sausage roll .",heterographic,1
het_105,My name is Harry . I ' m a barber .,heterographic,1
het_322,The man leaned on the printer cartridge because he wanted to tone up his abs .,heterographic,1
hom_1879,She got fired from the hot dog stand for putting her hair in a bun .,homographic,1
hom_337,"Three can keep a secret , if two of them are dead .",homographic,0
het_214,Eggs and oaths are soon broken .,heterographic,0
het_1178,"I am the Marlboro Man of Borg . I ( cough ) will assim - ( choke , wheeze ) . .",heterographic,0
hom_1370,Captain we ' re at 1700 CPS . The UARTs canna take much more,homographic,0
het_1093,Seen the new Clinton watch ? Only $ 5 . 95 . $ 54 . 95 with tax .,heterographic,0
hom_787,"At a conference , I unexpectedly encountered the wife of a former client , whom I hadn ' t seen in 20 or more years . ' ' You haven ' t changed ! ' ' she exclaimed . ' ' There ' s plenty of time for that , ' ' I replied . ' ' The dinner isn ' t until this evening . ' '",homographic,1
het_339,Call a spade a spade .,heterographic,0
hom_510,I ' m ! A ! Graduate ! Of ! The ! Bill ! Shatner ! Acting ! School !,homographic,0
hom_706,"Fool me once , shame on you . Fool me twice , shame on me .",homographic,0
hom_588,"OLD PICKPOCKETS never die , they just steal away .",homographic,1
hom_2127,The forecaster was away because he was under the weather .,homographic,1
hom_1329,Wal - Mart Is Not the Only Saving Place . Come On In .,homographic,1
hom_659,For class schedules Yoga instructors are flexible .,homographic,1
het_426,I simply must find a new podiatrist . My podiatrist has developed such a callus attitude .,heterographic,1
het_1039,Finding all possible logical relations between a finite collection of sets is not a matter of If but Venn .,heterographic,1
het_914,"Life is fragile , handle with prayer",heterographic,1
hom_1500,We carry our greatest enemies within us .,homographic,0
het_686,"OLD TEACHERS never die , they just grade away",heterographic,1
het_631,' ' Has my magazine arrived ? ' ' Tom asked periodically .,heterographic,1
het_1045,"When I first tried the new cough syrup , I really had no idea what to expectorate .",heterographic,1
hom_345,Two blackberries met . They were both in a jam .,homographic,1
hom_1717,The incontinent Scotsman had a wee accident .,homographic,1
het_1403,"I ' ll eat till I burst , Tom agreed .",heterographic,1
hom_99,"OLD DOOR FRAMERS never die , they just become unhinged .",homographic,1
hom_20,I got angry when my cell phone battery died . My counselor suggested I find an outlet .,homographic,1
hom_1880,The case against a donut thief was full of holes .,homographic,1
hom_433,"OLD FARMERS never die , they just turn into vegetables .",homographic,1
hom_1654,"My name is Oscar , and I ' m a movie star .",homographic,1
hom_125,A noun and a verb were dating but they broke up because the noun was too possessive .,homographic,1
het_868,Don ' t even TRY to THINK without proper tools .,heterographic,0
hom_837,The voice of the people is the voice of god .,homographic,0
hom_892,There is no royal road to learning .,homographic,0
hom_1853,Endorsement by an olympic swimmer caused a company ' s profits to dive .,homographic,1
het_1189,Know thyself .,heterographic,0
het_309,"' ' I have been reading Voltaire , ' ' Tom admitted candidly .",heterographic,1
het_1377,No man is an island .,heterographic,0
het_1000,"Be a friend to thyself , and others will befriend thee .",heterographic,0
hom_2001,When Wally discovered he had Lyme disease he was really ticked off .,homographic,1
het_582,"' ' I presented my case to the judge , ' ' Tom said briefly .",heterographic,1
hom_1659,"When Irish boys carry their little brothers , they get a Pat on the back .",homographic,1
hom_700,"OLD CARD PLAYERS never die , they just fold .",homographic,1
hom_1536,Don ' t take life seriously . . . it isn ' t permanent .,homographic,0
hom_1426,Hangmen always keep their customers in the loop .,homographic,1
hom_1665,Did you hear about the pilot who always had work ? He was great at landing a job .,homographic,1
het_1476,The book about Teflon contained no frictional characters .,heterographic,1
het_1643,To some Christmas is about other people ' s presence .,heterographic,1
het_1660,Mourning has broken on Easter Sunday .,heterographic,1
hom_1780,The inventor of shag carpet made a big pile .,homographic,1
hom_1457,"The truth shall set you free , or The truth will set you free .",homographic,0
hom_1537,Two mathematicians arguing about even numbers were at odds .,homographic,1
hom_624,A young sailor thought all of the waves were just swell .,homographic,1
het_484,"Don ' t confuse me with facts , my mind is made up !",heterographic,0
hom_2101,My name is Cliff . I ' m a mountaineer .,homographic,1
het_992,"OLD BASEBALL PLAYERS never die , they just go batty .",heterographic,1
het_377,The Chinese chef maliciously dumped a hot broth with dumplings on an obnoxious customer . It was a wanton soup attack .,heterographic,1
hom_1692,During a tennis match one player gave the other a backhanded compliment .,homographic,1
hom_762,Astronomers often have their own private viewpoints .,homographic,1
het_1151,Acid absorbs 10 times its weight in excess reality .,heterographic,0
hom_1723,A broken watch is right two times a day .,homographic,0
hom_511,Why didn ' t the little boy ask the flight attendant for a snack ? He didn ' t have the nuts .,homographic,1
het_543,Did you hear about the father that was difficult to see ? He was transparent .,heterographic,1
het_1320,"Bank Rule : To get a loan , first prove you don ' t need it .",heterographic,0
het_381,"It ' s where we store the hay , Tom said loftily .",heterographic,1
hom_1947,"' ' I ' m burning aromatic substances , ' ' said Tom , incensed .",homographic,1
hom_286,Rabbits like their beer brewed with a lot of hops .,homographic,1
het_839,One might as well be hanged for a sheep as a lamb .,heterographic,0
het_499,It ' s just like a cowboy to stirrup trouble .,heterographic,1
hom_1136,There was a guy who was fired from the orange juice factory for lack of concentration .,homographic,1
hom_1846,"' ' I like ragged margins , ' ' said Tom without justification .",homographic,1
hom_462,"I ' ll glue the sheets of wood back together , Tom replied .",homographic,1
het_957,Don ' t make the same mistake twice .,heterographic,0
hom_371,Business at the candle factory tapered off after the holidays .,homographic,1
het_437,God is on the side of the strongest batallions .,heterographic,0
het_1763,Treat yourself to one of our Sundays .,heterographic,1
het_477,What you seize is what you get .,heterographic,1
hom_1497,We offer counsel so you are not audited on your final return .,homographic,1
hom_434,When a priest makes a mistake in church it ' s a clerical error .,homographic,1
hom_741,The electrician got his supplies at the outlet store .,homographic,1
hom_581,"OLD METEOROLOGISTS never die , they just get under the weather .",homographic,1
hom_1683,Don ' t try to reinvent the wheel .,homographic,0
het_384,There was a lot of equestrian paraphernalia at the bridle shower .,heterographic,1
hom_1365,Is there a best month of spring ? There May be .,homographic,1
het_1522,Fair play ' s a jewel .,heterographic,0
hom_1054,The seed company turfed out my idea for ready made lawn .,homographic,1
het_71,The Net - surfing bandits always ended an operation by clearing out the cash .,heterographic,1
het_138,Have you ever read the Rime of the Ancient Gardener ? It was written by Samuel Taylor Foliage .,heterographic,1
hom_505,Illusionists always find themselves in tricky situations .,homographic,1
het_1516,How do they get the deer to cross at the signs ?,heterographic,0
hom_1247,People who make motor oil are very refined .,homographic,1
het_1393,"The poet had written better poems , but he ' d also written verse .",heterographic,1
hom_1566,"I before E except after C , huh ? Weird . . . . .",homographic,0
hom_962,"She was only a Doctor ' s daughter , but she really knew how to operate .",homographic,1
hom_1891,Gauss was asked to attend because of his magnetic personality .,homographic,1
het_726,Imagination comes before Creation .,heterographic,0
hom_110,Figure skaters don ' t like to be in a rut .,homographic,1
hom_1638,Packing up and relocating to a new home can be a moving experience .,homographic,1
het_830,"You ' ll never conquer me , Goliath said stonily .",heterographic,1
hom_2120,The Transformer always had a lot of quarters with him . He was a big fan of change .,homographic,1
het_1639,"Old sailors never die , they just get a little dinghy .",heterographic,1
het_864,"' ' I ' ve mailed the letter , ' ' Tom assented .",heterographic,1
het_522,Bakers have a great knead to make bread .,heterographic,1
hom_951,""" I ' d like to buy a schwa , Pat . """,homographic,0
hom_561,A truly wise man never plays leapfrog with a unicorn .,homographic,0
hom_474,One secret of success is to know how to deny yourself and other people .,homographic,0
het_454,' ' What ' s a wide - angle lens ? ' ' asked Tom obtusely .,heterographic,1
hom_15,They threw a party for the inventor of the toaster . And he was toasted .,homographic,1
het_661,"OLD SHOEMAKERS never die , they just lose their sole .",heterographic,1
hom_1502,Bill Gates took advantage of his Windows of opportunity,homographic,1
hom_2131,Carrying coals to Newcastle .,homographic,0
het_917,He who hesitates is lost .,heterographic,0
het_751,"Old programmers never die , they just can ' t C as well .",heterographic,1
hom_331,The younger brother the better gentleman .,homographic,0
het_1188,"Truth gives a short answer , lies go round about .",heterographic,0
hom_678,"My name is Grant , I am a loan officer .",homographic,1
het_775,Water leaking through wallboard is usually a ceiling problem .,heterographic,1
het_353,How do spacemen add more protein to their diet ? They make it meteor .,heterographic,1
hom_1304,"OLD SALESMEN never die , they just go out of commission .",homographic,1
hom_823,A new broome sweepeth cleane .,homographic,0
hom_1669,Confidence is important ; the computer can sense fear .,homographic,0
het_1166,"If two wrongs don ' t make a right , try three .",heterographic,0
het_647,It is difficult to escape being a peasant because resistance is feudal .,heterographic,1
het_1651,How do farmers make crop circles ? With a protractor .,heterographic,1
het_1415,"If wishes were fishes , we ' d all cast nets .",heterographic,0
het_926,' ' That ' s price - fixing ! ' ' said Tom caustically .,heterographic,1
het_1451,Answers : $ 1 . Correct answers : $ 5 . Dumb looks : Free !,heterographic,0
het_953,Why was the orange sad ? He had peelings for the apple .,heterographic,1
hom_1469,"Some jokes get dated , other jokes get married .",homographic,1
hom_2137,Men talk only to conceal the mind .,homographic,0
het_989,Dairy Queen isn ' t the only place with awesome Sundays : ),heterographic,1
hom_1360,In certain sexual harassment cases things can get kind of touchy .,homographic,1
het_460,Guerrilla warfare is more than just throwing a banana .,heterographic,1
het_729,"Alex , I ' ll take "" Things Only I Know "" for $ 1000 , please .",heterographic,0
het_743,She was only a Glaziers daughter but took great panes to please,heterographic,1
hom_1032,A leak in the back of a boat is a stern warning .,homographic,1
het_1773,"She was only a Carpenter ' s daughter , but you should have seen her circular sores !",heterographic,1
het_1059,The best defence is a good offence .,heterographic,0
hom_1942,I was looking for watch batteries but I wound up at a clock shop .,homographic,1
het_1135,It ' s a long lane that has no turning .,heterographic,0
hom_274,A basketball player couldn ' t control his saliva but he could sure dribble .,homographic,1
het_199,Mainframe : the biggest PC peripheral you can buy .,heterographic,0
het_1091,Alcohol and calculus don ' t mix so don ' t drink and derive .,heterographic,1
het_862,AAAAAA - American Association Against Acronym Abuse Anonymous,heterographic,0
hom_830,Better late than never .,homographic,0
het_1557,Jim : ' Did you hear about the guy who ate twenty pancakes for breakfast ? ' Joe : ' How waffle . ',heterographic,1
hom_1684,Hell hath no fury like the lawyer of woman scorned !,homographic,0
hom_1261,"That ' s a cool chair . Yeah , I know , it rocks .",homographic,1
hom_1042,Edison thought it would be an illuminating experience .,homographic,1
hom_1184,"I got a deal on a new computer , and they threw in the operating system to boot .",homographic,1
hom_1140,Two geologists were staring at a huge fissure in a cliff face and one was overheard to say ' It ' s not my fault ' .,homographic,1
hom_1980,Those who make magnets can be quite attractive .,homographic,1
het_1003,Environmentalist : expert in computer operating systems .,heterographic,1
hom_1933,A high scoring football game can be very offensive .,homographic,1
het_903,"As Sir Galahad lifted the sacred chalice , the bottom fell out . He had indeed found the holey Grail .",heterographic,1
het_1057,"Absent the fungus , the story had no morel",heterographic,1
het_1382,What is a duck ' s favorite game to play ? Billiards .,heterographic,1
hom_2,Wal - Mart isn ' t the only saving place !,homographic,1
het_1413,Sign on the door of an internet hacker . ' Gone Phishing ' .,heterographic,1
hom_418,The Alpine Skiing competition started poorly and went downhill from there .,homographic,1
het_200,"' ' I know what herb would taste nice with this , ' ' said Tom sagely .",heterographic,1
het_913,The researcher ' s report showed data on the political graphed .,heterographic,1
hom_1509,We are overdressed when we are wrapped up in ourselves .,homographic,1
hom_1706,Give a man a fish and you feed him for a day . Teach a man to fish and you feed him for a lifetime .,homographic,0
het_1655,Today is the first day of the rest of your life .,heterographic,0
hom_1627,The musician in jail was anxiously awaiting his next release .,homographic,1
het_1571,"When Jesus entered Jerusalem , people waved palm branches because they were being frondly .",heterographic,1
hom_1737,Stolen eggs are poached .,homographic,1
hom_1956,My buddy asked me to look after his pet goose while he was away . I told him I wasn ' t down with that .,homographic,1
het_1266,After coming to work and play musicians come home suite home .,heterographic,1
hom_2071,He realized he ' d made the major leagues when it finally hit him .,homographic,1
hom_740,An army officer is a position that some people shoot for .,homographic,1
het_635,Animals that tunnel in the soil have to have an escape root .,heterographic,1
het_491,Reading music makes me crotchety .,heterographic,1
het_502,Let ' s go to the gym and weight a while .,heterographic,1
hom_2035,A good friend never offends .,homographic,0
hom_554,"I ' m blind enough to look at the situation in the wrong fashion , so I changed my clothes .",homographic,1
hom_1548,The members of the oldest profession are not really lost women ; they are just mislaid .,homographic,1
hom_1530,A hedge between keeps friends green .,homographic,0
het_720,"Dinna wave that axe aboot , Jimmy ! said Tom heedlessly .",heterographic,1
hom_1526,"OLD GRAVEDIGGERS never die , they just get buried in their work",homographic,1
hom_1969,"OLD DENTISTS never die , they just lose their pull .",homographic,1
hom_109,If you operate a drill press you have a boring job .,homographic,1
hom_705,Driving on so many turnpikes was taking its toll .,homographic,1
het_1315,"' ' I can no longer hear anything , ' ' said Tom deftly .",heterographic,1
het_408,Old cotton - pickers never die . They just bale out .,heterographic,1
hom_2105,Prevention is better than cure .,homographic,0
hom_2157,I can ' t really see myself without eyes .,homographic,1
hom_1813,When writing out drink recipes you have to have a first draft .,homographic,1
het_295,Think before you speak .,heterographic,0
hom_1162,"Old carpenters never die , they just lumber around .",homographic,1
hom_17,You have two choices for dinner : Take it or Leave it .,homographic,0
hom_1078,The unveiling of the statue was a monumental occasion .,homographic,1
het_12,"OLD ELECTRICIANS never die , they just do it until it Hz .",heterographic,1
het_48,"There are no answers , only cross - references .",heterographic,0
het_463,My name is Hans . I ' m a manicurist,heterographic,1
het_825,A motorcycle rider with bad teeth is the leader of the plaque .,heterographic,1
hom_629,"OLD BREAD MEN never die , they just lose their dough .",homographic,1
het_185,"They say curiosity killed the cat , and they weren ' t kitten .",heterographic,1
hom_604,I wanted to lose weight so I went to the paint store . I heard I could get thinner there .,homographic,1
hom_1478,"Do I straddle the fence on issues ? Well , yes and no . . . .",homographic,0
hom_1228,The wish is father to the thought .,homographic,0
het_1649,The bear went over the mountain to see what was bruin .,heterographic,1
hom_2246,Choose a wife rather by your ear than your eye .,homographic,0
het_625,The son shines on the righteous .,heterographic,1
het_973,He doesn ' t talk much does he ? He ' s just a little horse .,heterographic,1
hom_1649,Proverbs run in pairs .,homographic,0
het_178,Ignorance is bliss .,heterographic,0
hom_26,"If you leave alphabet soup on the stove and go out , it could spell disaster .",homographic,1
hom_1675,"When the wheel was invented , it caused a revolution .",homographic,1
hom_1557,Underpaid weather forecasters predicted a storm of protest .,homographic,1
het_1015,A problem can be found for almost every solution .,heterographic,0
het_43,Yesterday a cow saved my life - it was bovine intervention .,heterographic,1
hom_103,"I ' m dying , Tom croaked .",homographic,1
het_890,The flock of doves decided to stage a coo,heterographic,1
hom_231,"The pope , on his 2008 tour in the United States , skipped Mass .",homographic,1
hom_1056,"An old lady once asked the dispatcher of a local trucking company if they could ship an antique mirror to her sister in Toronto . The dispatcher says , ' I don ' t know madam , I ' d have to look into it first ' .",homographic,1
het_621,"When the waiter told me they were out of corn I said , ' That really shucks . '",heterographic,1
het_1313,Fortune favors the brave .,heterographic,0
het_439,The more the merrier .,heterographic,0
hom_918,"The scorpion said to the desert , ' You know , our conversations are always so dry . '",homographic,1
het_773,If the mint makes 25 cent pieces it should expect quarterly profits .,heterographic,1
hom_2057,"My student was late for class , claiming he was in the washroom . I think he was stalling .",homographic,1
het_1389,I was kicked out of math class for one too many infractions .,heterographic,1
hom_957,"My friend came around for dinner . We ate for 20 minutes , then he fainted again .",homographic,1
het_1238,Fight Truth Decay … Study The Bible Daily,heterographic,1
het_465,Health is wealth .,heterographic,0
het_271,Time is precious .,heterographic,0
hom_209,"She was only a Real estate agent ' ' s daughter , but she gave a lot away .",homographic,1
het_1008,You decide what kind of light bulbs to buy by a process of illumination .,heterographic,1
hom_1892,A group of physicists is called a nucleus .,homographic,1
hom_538,A tattle tale pig is a squealer .,homographic,1
hom_204,"' ' I have to check the score on this exam again , ' ' Tom remarked .",homographic,1
het_104,Authors can be very PENsive .,heterographic,1
het_1705,ADVENTURE : The land between entertainment and panic .,heterographic,0
het_201,An heir is someone with a descent wage .,heterographic,1
het_1570,"I wasn ' t kissing her , I was whispering in her mouth .",heterographic,0
hom_440,The coffee tasted like mud because it was ground a couple of minutes ago .,homographic,1
hom_295,"Love me tender / love me sweet / push me out at 12 , 000 ft",homographic,0
het_1592,"Help stamp out , eliminate , and abolish redundancy !",heterographic,0
het_1385,Would you like some soda in your whiskey ? asked Tom caustically .,heterographic,1
hom_2102,A church welcomed all denominations but preferred tens and twenties .,homographic,1
het_182,He that stays in the valley will not get over the hill .,heterographic,0
hom_2130,"I ' d love to , but my patent is pending .",homographic,0
hom_763,"OLD CRICKETERS never die , they just get bowled over .",homographic,1
hom_978,My name is Pat . I am a masseur,homographic,1
het_95,A young corporal dislocated his arm during a battle but kept going . You could say he was shouldering on .,heterographic,1
hom_2104,"OLD WRITERS never die , they just get erased .",homographic,1
het_266,The proof of the pudding is in the eating .,heterographic,0
het_461,Did you know that donuts were first made in Greece ?,heterographic,1
het_1494,"Have a ride in my new ambulance , said Tom hospitably .",heterographic,1
hom_116,"My father slept under the bed , I think he was a little potty .",homographic,1
hom_866,I got a great bargain the other day when I bought a forklift for half - price . It ' s amazing what you can pick up these days .,homographic,1
het_1662,"' ' I just bought a woollen sweater , ' ' said Tom sheepishly .",heterographic,1
het_1113,"OLD SAUSAGE MAKERS never die , they just take a turn for the wurst .",heterographic,1
het_288,Isn ' t the Grand Canyon just gorges ?,heterographic,1
hom_1697,There was an eye doctor who wanted to re - locate but couldn ' t find a job because he didn ' t have enough contacts .,homographic,1
hom_198,"I like marching songs , in any month .",homographic,1
het_592,"The cast , after the scene in the forest , took their boughs .",heterographic,1
het_787,Am I ignorant or apathetic ? I don ' t know and don ' t care !,heterographic,0
het_1738,She became a lifeguard at the beach and kept the buoys in line .,heterographic,1
het_597,The tightrope walker gently took a step at a time and always wore diamond - laced slippers . The spectators always would stare in awe at the tightrope walker ' s feat .,heterographic,1
het_736,Life is a puzzle ; look here for the missing peace .,heterographic,1
hom_1431,"Sky divers don ' t jump , they just fall away .",homographic,1
hom_1783,The artist was great . He could always draw a crowd .,homographic,1
hom_1405,A bird in the hand is worth two in the bush .,homographic,0
hom_1146,"A Crucifix ? Oy vey , have YOU got the wrong vampire . . .",homographic,0
hom_838,She became a telephone operator because it was her calling .,homographic,1
hom_1456,The railway constructions are on track .,homographic,1
hom_1889,All true wisdom is found on T - shirts . - - And in taglines .,homographic,0
hom_1252,"Do not merely believe in miracles , rely on them .",homographic,0
hom_1595,". . . I multi - task , I read in the bathroom .",homographic,0
het_1536,"Forewarned , forearmed .",heterographic,0
het_1130,"OLD HELSINKI TOURISTS never die , they just vanish into Finn air .",heterographic,1
het_36,"I ' ve been to a film festival in the South of France , said Tom cannily .",heterographic,1
hom_1455,Proofread carefully to see if you any words out .,homographic,0
